GO ID	Freq
GO:0000041	1
GO:0000086	1
GO:0000272	1
GO:0000302	1
GO:0000578	1
GO:0001502	1
GO:0001505	1
GO:0001569	1
GO:0001704	1
GO:0001707	1
GO:0001840	1
GO:0001894	1
GO:0001935	1
GO:0001936	1
GO:0001946	1
GO:0001947	1
GO:0002053	1
GO:0002065	1
GO:0002821	1
GO:0002824	1
GO:0003009	1
GO:0003014	1
GO:0003091	1
GO:0003143	1
GO:0003148	1
GO:0003151	1
GO:0003156	1
GO:0003158	1
GO:0003170	1
GO:0003171	1
GO:0003179	1
GO:0003198	1
GO:0003208	1
GO:0003209	1
GO:0003230	1
GO:0003254	1
GO:0003272	1
GO:0003279	1
GO:0003281	1
GO:0003300	1
GO:0003338	1
GO:0003352	1
GO:0003356	1
GO:0003401	1
GO:0005978	1
GO:0005980	1
GO:0006023	1
GO:0006024	1
GO:0006081	1
GO:0006085	1
GO:0006094	1
GO:0006099	1
GO:0006264	1
GO:0006275	1
GO:0006490	1
GO:0006582	1
GO:0006635	1
GO:0006720	1
GO:0006775	1
GO:0006879	1
GO:0006939	1
GO:0007160	1
GO:0007220	1
GO:0007411	1
GO:0007422	1
GO:0007492	1
GO:0007519	1
GO:0007528	1
GO:0007569	1
GO:0007612	1
GO:0008088	1
GO:0008299	1
GO:0008585	1
GO:0008631	1
GO:0008643	1
GO:0009060	1
GO:0009150	1
GO:0009250	1
GO:0009251	1
GO:0009620	1
GO:0009650	1
GO:0009713	1
GO:0009749	1
GO:0009798	1
GO:0009948	1
GO:0010092	1
GO:0010165	1
GO:0010171	1
GO:0010453	1
GO:0010464	1
GO:0010466	1
GO:0010718	1
GO:0010862	1
GO:0010881	1
GO:0010882	1
GO:0010970	1
GO:0014037	1
GO:0014044	1
GO:0014068	1
GO:0014075	1
GO:0014819	1
GO:0014855	1
GO:0014888	1
GO:0014896	1
GO:0014897	1
GO:0015748	1
GO:0015850	1
GO:0015918	1
GO:0019217	1
GO:0019218	1
GO:0019226	1
GO:0019229	1
GO:0019319	1
GO:0019395	1
GO:0019722	1
GO:0019827	1
GO:0019915	1
GO:0019932	1
GO:0021510	1
GO:0021515	1
GO:0021536	1
GO:0021761	1
GO:0021782	1
GO:0021872	1
GO:0021904	1
GO:0021915	1
GO:0021953	1
GO:0022011	1
GO:0022602	1
GO:0022617	1
GO:0030002	1
GO:0030149	1
GO:0030204	1
GO:0030217	1
GO:0030239	1
GO:0030279	1
GO:0030301	1
GO:0030325	1
GO:0030522	1
GO:0030539	1
GO:0030540	1
GO:0030574	1
GO:0030705	1
GO:0030850	1
GO:0030857	1
GO:0031056	1
GO:0031069	1
GO:0031297	1
GO:0031647	1
GO:0031667	1
GO:0032094	1
GO:0032147	1
GO:0032292	1
GO:0032330	1
GO:0032355	1
GO:0032371	1
GO:0032374	1
GO:0032386	1
GO:0032410	1
GO:0032414	1
GO:0032881	1
GO:0032886	1
GO:0032890	1
GO:0033561	1
GO:0033627	1
GO:0034109	1
GO:0034367	1
GO:0034368	1
GO:0034369	1
GO:0034370	1
GO:0034372	1
GO:0034389	1
GO:0034405	1
GO:0034505	1
GO:0034614	1
GO:0034698	1
GO:0034754	1
GO:0035019	1
GO:0035050	1
GO:0035112	1
GO:0035115	1
GO:0035137	1
GO:0035264	1
GO:0035282	1
GO:0035690	1
GO:0036303	1
GO:0036342	1
GO:0036473	1
GO:0038128	1
GO:0042098	1
GO:0042157	1
GO:0042180	1
GO:0042306	1
GO:0042307	1
GO:0042310	1
GO:0042416	1
GO:0042417	1
GO:0042423	1
GO:0042438	1
GO:0042472	1
GO:0042693	1
GO:0042698	1
GO:0042730	1
GO:0043039	1
GO:0043122	1
GO:0043123	1
GO:0043217	1
GO:0043267	1
GO:0043388	1
GO:0043406	1
GO:0043500	1
GO:0043627	1
GO:0044089	1
GO:0044243	1
GO:0044247	1
GO:0044272	1
GO:0044275	1
GO:0044839	1
GO:0045005	1
GO:0045055	1
GO:0045103	1
GO:0045109	1
GO:0045333	1
GO:0045446	1
GO:0045471	1
GO:0045667	1
GO:0045668	1
GO:0045669	1
GO:0045683	1
GO:0045740	1
GO:0045843	1
GO:0045861	1
GO:0046209	1
GO:0046390	1
GO:0046545	1
GO:0046621	1
GO:0046622	1
GO:0046822	1
GO:0046824	1
GO:0046887	1
GO:0046890	1
GO:0048167	1
GO:0048193	1
GO:0048332	1
GO:0048489	1
GO:0048511	1
GO:0048545	1
GO:0048566	1
GO:0048570	1
GO:0048635	1
GO:0048659	1
GO:0048661	1
GO:0048663	1
GO:0048701	1
GO:0048730	1
GO:0048745	1
GO:0048799	1
GO:0048857	1
GO:0050654	1
GO:0050679	1
GO:0050768	1
GO:0050805	1
