HPO ID	Freq
HP:0000103	1
HP:0000104	1
HP:0000114	1
HP:0000127	1
HP:0000166	1
HP:0000189	1
HP:0000204	1
HP:0000253	1
HP:0000348	1
HP:0000502	1
HP:0000509	1
HP:0000519	1
HP:0000601	1
HP:0000621	1
HP:0000639	1
HP:0000691	1
HP:0000751	1
HP:0000851	1
HP:0000957	1
HP:0000976	1
HP:0000982	1
HP:0001017	1
HP:0001030	1
HP:0001032	1
HP:0001056	1
HP:0001139	1
HP:0001166	1
HP:0001257	1
HP:0001266	1
HP:0001273	1
HP:0001284	1
HP:0001291	1
HP:0001339	1
HP:0001347	1
HP:0001395	1
HP:0001397	1
HP:0001410	1
HP:0001511	1
HP:0001651	1
HP:0001662	1
HP:0001820	1
HP:0001875	1
HP:0001876	1
HP:0001897	1
HP:0001903	1
HP:0001909	1
HP:0001930	1
HP:0001959	1
HP:0001967	1
HP:0001972	1
HP:0002007	1
HP:0002014	1
HP:0002015	1
HP:0002079	1
HP:0002080	1
HP:0002093	1
HP:0002197	1
HP:0002205	1
HP:0002444	1
HP:0002586	1
HP:0002655	1
HP:0002720	1
HP:0002726	1
HP:0002888	1
HP:0002936	1
HP:0003038	1
HP:0003125	1
HP:0003126	1
HP:0003213	1
HP:0003214	1
HP:0003218	1
HP:0003220	1
HP:0003221	1
HP:0003224	1
HP:0003225	1
HP:0003390	1
HP:0003577	1
HP:0003676	1
HP:0003762	1
HP:0003974	1
HP:0004313	1
HP:0004432	1
HP:0004845	1
HP:0005224	1
HP:0005406	1
HP:0005914	1
HP:0005987	1
HP:0006532	1
HP:0006846	1
HP:0007417	1
HP:0008209	1
HP:0008386	1
HP:0008391	1
HP:0008872	1
HP:0009777	1
HP:0009943	1
HP:0010614	1
HP:0010705	1
HP:0010874	1
HP:0011968	1
HP:0100658	1
HP:0000093	2
HP:0000121	2
HP:0000533	2
HP:0000541	2
HP:0000548	2
HP:0000773	2
HP:0000822	2
HP:0000900	2
HP:0001004	2
HP:0001007	2
HP:0001107	2
HP:0001133	2
HP:0001159	2
HP:0001260	2
HP:0001325	2
HP:0001336	2
HP:0001363	2
HP:0001400	2
HP:0001408	2
HP:0001425	2
HP:0001513	2
HP:0001639	2
HP:0001873	2
HP:0001943	2
HP:0001981	2
HP:0002059	2
HP:0002251	2
HP:0002681	2
HP:0002723	2
HP:0002724	2
HP:0002740	2
HP:0002741	2
HP:0002742	2
HP:0002755	2
HP:0002829	2
HP:0002840	2
HP:0002842	2
HP:0002908	2
HP:0002910	2
HP:0002930	2
HP:0002955	2
HP:0003203	2
HP:0003206	2
HP:0003208	2
HP:0003210	2
HP:0003388	2
HP:0003455	2
HP:0003553	2
HP:0003689	2
HP:0003774	2
HP:0004315	2
HP:0004322	2
HP:0004684	2
HP:0005474	2
HP:0005871	2
HP:0007033	2
HP:0007677	2
HP:0007737	2
HP:0007754	2
HP:0007814	2
HP:0007894	2
HP:0008221	2
HP:0008873	2
HP:0010920	2
HP:0010982	2
HP:0012385	2
HP:0030041	2
HP:0030084	2
HP:0030515	2
HP:0100259	2
HP:0100792	2
HP:0000013	3
HP:0000508	3
HP:0000545	3
HP:0000568	3
HP:0000726	3
HP:0001009	3
HP:0001029	3
HP:0001249	3
HP:0001274	3
HP:0001360	3
HP:0001419	3
HP:0001653	3
HP:0001674	3
HP:0001992	3
HP:0002151	3
HP:0002257	3
HP:0002300	3
HP:0002638	3
HP:0002857	3
HP:0002984	3
HP:0003079	3
HP:0003205	3
HP:0003250	3
HP:0003546	3
HP:0004334	3
HP:0005381	3
HP:0005528	3
HP:0005547	3
HP:0006744	3
HP:0006999	3
HP:0007663	3
HP:0008404	3
HP:0009058	3
HP:0010695	3
HP:0100582	3
HP:0100775	3
HP:0000107	4
HP:0000316	4
HP:0000365	4
HP:0000481	4
HP:0000613	4
HP:0000635	4
HP:0000774	4
HP:0000786	4
HP:0001045	4
HP:0001332	4
HP:0001387	4
HP:0001472	4
HP:0001508	4
HP:0001723	4
HP:0001889	4
HP:0002013	4
HP:0002156	4
HP:0002160	4
HP:0002173	4
HP:0002181	4
HP:0002224	4
HP:0002350	4
HP:0002788	4
HP:0002912	4
HP:0003145	4
HP:0003223	4
HP:0003281	4
HP:0003524	4
HP:0003658	4
HP:0003764	4
HP:0004469	4
HP:0004911	4
HP:0006498	4
HP:0006673	4
HP:0007780	4
HP:0008031	4
HP:0008341	4
HP:0009051	4
HP:0010442	4
HP:0012120	4
HP:0040154	4
HP:0000034	5
HP:0000090	5
HP:0000131	5
HP:0000148	5
HP:0000340	5
HP:0000590	5
HP:0000703	5
HP:0000789	5
HP:0000840	5
HP:0000853	5
HP:0000978	5
HP:0001047	5
HP:0001259	5
HP:0001287	5
HP:0001634	5
HP:0001950	5
HP:0002038	5
HP:0002150	5
HP:0002227	5
HP:0002419	5
HP:0004383	5
HP:0004904	5
HP:0005280	5
HP:0005518	5
HP:0005731	5
HP:0007807	5
HP:0007971	5
HP:0008297	5
HP:0010049	5
HP:0010729	5
HP:0010970	5
HP:0000117	6
HP:0000407	6
HP:0000421	6
HP:0000705	6
HP:0001199	6
HP:0001321	6
HP:0001654	6
HP:0001744	6
HP:0001902	6
HP:0001942	6
HP:0002090	6
HP:0002159	6
HP:0002301	6
HP:0002625	6
HP:0002673	6
HP:0004233	6
HP:0004923	6
HP:0007843	6
HP:0007973	6
HP:0008166	6
HP:0011109	6
HP:0012038	6
HP:0000133	7
HP:0000280	7
HP:0000405	7
HP:0000535	7
HP:0000943	7
HP:0000992	7
HP:0001006	7
HP:0001022	7
HP:0001252	7
HP:0001263	7
HP:0001719	7
HP:0002208	7
HP:0002211	7
HP:0003124	7
HP:0003292	7
HP:0003458	7
HP:0003642	7
HP:0003645	7
HP:0003803	7
HP:0007984	7
HP:0012024	7
HP:0000132	8
HP:0000158	8
HP:0001955	8
HP:0002959	8
HP:0003010	8
HP:0003015	8
HP:0003241	8
HP:0003741	8
HP:0005305	8
HP:0007260	8
HP:0008499	8
HP:0012263	8
HP:0000512	9
HP:0001099	9
HP:0001162	9
HP:0001962	9
HP:0002069	9
HP:0002074	9
HP:0002240	9
HP:0008659	9
HP:0008935	9
HP:0009183	9
HP:0010655	9
HP:0011682	9
HP:0011800	9
HP:0012727	9
HP:0000246	10
HP:0005261	10
HP:0011999	10
HP:0012384	10
HP:0200073	10
HP:0000403	11
HP:0001053	11
HP:0001081	11
HP:0001100	11
HP:0001470	11
HP:0002204	11
HP:0002226	11
HP:0003128	11
HP:0003231	11
HP:0003607	11
HP:0011108	11
HP:0012245	11
HP:0000175	12
HP:0000505	12
HP:0001987	12
HP:0003560	12
HP:0004308	12
HP:0008191	12
HP:0000150	13
HP:0000252	13
HP:0000272	13
HP:0001951	13
HP:0003236	13
HP:0000662	14
HP:0001254	14
HP:0005736	14
HP:0007642	14
HP:0001696	15
HP:0002561	15
HP:0004635	15
HP:0011663	15
HP:0001008	16
HP:0001250	16
HP:0002110	16
HP:0000100	17
HP:0001699	17
HP:0006568	17
HP:0008258	17
HP:0008368	17
HP:0001156	18
HP:0002718	18
HP:0004756	18
HP:0012265	18
HP:0000408	19
HP:0002725	19
HP:0004431	19
HP:0005421	19
HP:0012233	19
HP:0001664	20
HP:0100724	20
HP:0005959	21
HP:0000074	22
HP:0008668	22
HP:0000926	23
HP:0200044	23
HP:0006765	24
HP:0001300	25
HP:0001684	25
HP:0012184	25
HP:0012232	26
HP:0000825	27
HP:0005217	30
HP:0000501	31
HP:0001054	31
HP:0002676	34
HP:0003319	34
HP:0005465	34
HP:0002408	35
HP:0000012	37
HP:0001644	37
HP:0002721	38
HP:0011907	38
HP:0005110	39
HP:0001663	40
HP:0010445	42
HP:0001645	43
HP:0000510	47
HP:0001082	48
HP:0002716	48
HP:0002849	49
HP:0003095	49
HP:0000007	50
HP:0000952	53
HP:0001083	54
HP:0002677	54
HP:0003391	54
HP:0004749	59
HP:0000243	64
HP:0001657	65
HP:0005116	70
HP:0000668	76
HP:0001279	94
HP:0004814	117
HP:0001528	127
HP:0000149	133
HP:0001894	153
HP:0000006	445
